TYPE,LATITUDE,LONGITUDe,SUSTAINED WINDS
HU,13.3,97.2,75
HU,13.1,97.9,75
HU,12.9,98.6,75
HU,12.8,99.2,75
HU,12.7,99.8,75
HU,12.7,100.4,75
HU,12.9,101,75
HU,13.3,101.4,75
HU,13.7,101.7,75
HU,13.9,102,75
HU,14.2,102.2,75
HU,15,102.6,75
HU,15.8,103.1,75
HU,16.6,104.1,75
HU,17.1,105.4,75
TS,12.9,95.1,45
TS,13.1,93.9,45
TS,13.6,93.3,45
TS,14,92.9,45
TS,14.4,92.7,45
TS,14.7,92.6,45
TS,15.1,92.8,45
TS,15.6,93,45
TS,16.2,93,45
TS,16.8,93,45
HU,12.6,91.1,75
HU,12.6,92,75
HU,12.6,92.9,75
HU,12.5,94.2,75
HU,12.4,95.6,75
HU,12.8,96.7,75
HU,13.3,97.8,75
HU,13.4,99,75
HU,13.5,100.2,75
HU,13.7,102.1,75
HU,14,103.9,75
HU,14.1,104.5,75
HU,14.2,105.1,75
HU,14.5,106.1,75
HU,14.9,107.1,75
HU,15.3,108.6,75
HU,15.7,110.1,75
HU,16.1,111.6,75
HU,16.3,113,75
HU,16.4,114.3,75
HU,16.6,115.2,75
HU,16.7,115.9,75
HU,16.9,116.6,75
HU,17.4,117.3,75
HU,18.1,117.8,75
HU,14.1,109.1,75
HU,14.3,109.4,75
HU,14.7,109.6,75
HU,15.2,109.5,75
HU,15.6,109.4,75
HU,16.2,109.4,75
HU,16.7,109.4,75
HU,17,109.5,75
HU,17.3,109.8,75
HU,17.6,110.4,75
HU,17.8,111,75
TS,11.4,109.1,45
TS,11.7,109.8,45
TS,12.2,110.4,45
TS,12.6,110.5,45
TS,13.1,110.5,45
TS,13.5,110.3,45
TS,13.8,110.1,45
TS,14.3,109.6,45
TS,14.8,109,45
TS,15.3,108.7,45
TS,15.8,108.5,45
TS,16.5,108.6,45
TS,17.2,108.9,45
TS,15.8,99,45
TS,15.7,100.1,45
TS,15.4,101.1,45
TS,15,102,45
TS,14.5,102.9,45
TS,14.2,103.6,45
TS,14.1,104.4,45
TS,14.3,105.7,45
TS,14.6,107,45
TS,14.8,107.9,45
TS,14.9,108.9,45
TS,17.6,104.5,45
TS,17.8,105.4,45
TS,17.9,106.3,45
TS,18,107,45
TS,18.1,107.6,45
TS,18.1,108.2,45
TS,18.1,108.7,45
TS,18,109,45
TS,18,109.2,45
TS,18.2,109.6,45
TS,18.5,109.9,45
TS,18.8,110.3,45
TS,19,110.8,45
TS,19.3,111.2,45
TS,19.6,111.7,45
TS,19.8,112.2,45
TS,20,112.7,45
TS,19.4,105.6,45
TS,19.2,106.3,45
TS,19.4,106.9,45
TS,19.7,107,45
TS,20,107.1,45
TS,20.6,107.3,45
TS,21.4,107.7,45
TS,22.3,108.3,45
TS,23.2,109,45
TS,24,109.8,45
TS,24.9,110.6,45
TS,25.6,110.8,45
TS,26.3,110.6,45
HU,15,104,75
HU,15.9,104.2,75
HU,17,104.4,75
HU,18.3,104.8,75
HU,19.3,104.6,75
HU,13.3,113.1,75
HU,13.7,115.6,75
HU,13.9,118,75
HU,14,120,75
HU,14,122,75
TS,15.9,104,45
TS,15.8,104.5,45
TS,15.7,105.1,45
TS,15.7,105.6,45
TS,15.7,106.1,45
TS,15.7,106.7,45
TS,15.7,107.3,45
TS,15.7,107.8,45
TS,15.7,108.2,45
TS,15.7,108.8,45
TS,15.8,109.3,45
TS,15.8,110.1,45
TS,15.8,110.8,45
TS,16,111.5,45
TS,16.2,112.1,45
TS,16.4,113,45
TS,16.7,113.9,45
TS,17.2,115,45
TS,17.9,116,45
HU,16.5,105,75
HU,16.4,106,70
HU,16.3,107,65
TS,16.6,107.6,45
TS,17.6,108.5,45
TS,18.5,108.8,35
TD,20,109,25
HU,13.1,97,75
HU,13.2,97.8,75
HU,13.7,98.7,75
HU,14.5,99.5,75
HU,15.5,100.3,75
HU,16.5,100.9,75
HU,17.6,101.5,75
HU,17.8,107.8,75
HU,18.6,108.5,75
HU,19.1,109.4,75
HU,19.5,110.8,75
HU,19.7,112.3,75
HU,19.8,113.6,75
HU,19.8,114.9,75
HU,19.7,116.3,75
HU,19.7,117.7,75
HU,19.7,119.1,75
HU,19.7,120.4,75
HU,19.8,121.7,75
HU,20,122.9,75
TS,16.7,122.2,45
TS,16.9,122.6,45
TS,17,123.1,45
TS,17.1,123.7,45
TS,17.1,124.3,45
TS,17.1,125.1,45
TS,17.2,126,45
TS,17.3,127,45
TS,17.3,128.1,45
HU,16.9,112.9,75
HU,17.6,113.2,75
HU,18.1,113.8,75
HU,18.5,114.8,75
HU,18.9,115.9,75
HU,19.5,117.5,75
HU,20.1,119.2,75
HU,21.3,121.2,75
HU,22.3,123.2,75
HU,22.4,125.4,75
TS,22,127.6,60
HU,21.5,129.5,75
HU,20.9,131.3,75
TS,17.7,124.9,45
TS,17.3,126.5,45
TS,16.7,128,45
TS,16.4,129.8,45
HU,16.3,115.2,75
HU,16.5,116.2,75
HU,16.7,117,75
HU,16.8,117.6,75
HU,16.9,118.2,75
HU,17,119,75
HU,17.1,119.9,75
HU,16.9,120.8,75
HU,16.6,121.6,75
HU,16.4,122.3,75
HU,16.3,123.1,75
HU,16.9,104.6,75
HU,17.6,105.9,75
HU,18.2,107.1,75
HU,18.7,108.1,75
HU,19.1,109.2,75
HU,19.2,110.6,75
HU,19.3,112,75
HU,19.5,113.5,75
HU,19.6,115,75
HU,19.7,116.1,75
HU,19.8,117.1,75
HU,20,118.1,75
HU,20.3,119,75
HU,20.8,120.1,75
HU,21.4,121,75
HU,22.1,121.7,75
HU,22.8,122.3,75
HU,23.5,122.8,75
HU,24.2,123.3,75
TS,17.5,115,45
TS,17.4,116,45
TS,17.3,117,45
TS,17.1,118,45
TS,17,118.9,45
TS,16.9,119.6,45
TS,16.9,120.4,45
HU,11.9,108.2,75
HU,11.8,109.6,75
HU,11.8,110.7,75
HU,11.8,111.6,75
HU,11.7,112.5,75
HU,11.6,113.3,75
HU,11.5,114,75
HU,11.4,115,75
HU,11.4,116,75
